,Stations,LAT,LON,ShinjukuMade,ShinjukuDist,TokyoMade,TokyoDist,ShibuyaMade,ShibuyaDist,IkebukuroMade,IkebukuroDist,UenoMade,UenoDist,ShinagawaMade,ShinagawaDist,Lat_Lon
125,下北沢駅,35.66157000000001,139.66699,17.966666666666665,5.5 km,28.15,13.8 km,17.933333333333334,5.0 km,26.03333333333333,11.2 km,31.6,19.4 km,34.11666666666667,19.2 km,"35.66157000000001, 139.66699"
126,京急蒲田駅,35.561221999999994,139.72413999999998,33.666666666666664,23.8 km,20.233333333333334,15.0 km,26.716666666666665,19.7 km,38.63333333333333,27.1 km,25.066666666666666,18.7 km,24.966666666666665,8.8 km,"35.561221999999994, 139.72413999999998"
127,船堀駅,35.683796,139.86395,31.85,26.8 km,19.65,16.8 km,26.25,24.9 km,34.18333333333333,26.2 km,29.7,10.8 km,27.28333333333333,20.0 km,"35.683796, 139.86395"
128,雑司が谷駅,35.7203,139.71472,14.766666666666667,4.0 km,16.233333333333334,9.1 km,23.73333333333333,7.4 km,7.416666666666668,1.8 km,21.0,7.7 km,25.65,16.1 km,"35.7203, 139.71472"
129,森下駅,35.68802,139.7982,24.93333333333333,13.5 km,12.433333333333335,3.5 km,23.03333333333333,13.8 km,26.11666666666667,13.9 km,15.233333333333333,4.2 km,21.66666666666667,11.2 km,"35.68802, 139.7982"
130,西新井大師西駅,35.78148,139.7701,29.36666666666667,18.4 km,31.73333333333333,13.5 km,31.85,21.8 km,21.266666666666666,13.4 km,24.13333333333333,8.8 km,39.65,19.7 km,"35.78148, 139.7701"
131,四ツ谷駅,35.68615300000001,139.73022,10.216666666666667,3.1 km,14.683333333333335,4.5 km,15.433333333333335,4.7 km,22.566666666666666,10.0 km,20.633333333333333,6.0 km,21.63333333333333,10.2 km,"35.68615300000001, 139.73022"
132,桜上水駅,35.667587,139.63191,17.7,8.3 km,28.43333333333333,16.5 km,23.2,11.1 km,26.66666666666667,13.9 km,31.86666666666667,22.1 km,34.4,21.9 km,"35.667587, 139.63191"
133,大井町駅,35.607616,139.73466000000002,26.65,11.9 km,21.08333333333333,9.9 km,24.18333333333333,7.0 km,38.21666666666667,23.5 km,25.9,13.5 km,13.483333333333333,3.6 km,"35.607616, 139.73466000000002"
134,赤坂駅,35.67221,139.73637,17.05,5.0 km,11.25,3.9 km,15.033333333333333,4.5 km,23.93333333333333,13.7 km,16.833333333333332,8.6 km,22.3,6.5 km,"35.67221, 139.73637"
135,馬喰町駅,35.69338,139.78242,28.88333333333333,8.5 km,7.866666666666666,2.0 km,21.0,12.0 km,23.0,13.3 km,7.15,3.3 km,17.933333333333334,9.3 km,"35.69338, 139.78242"
136,八幡山駅,35.66983,139.61613,16.116666666666667,8.5 km,26.9,16.7 km,21.61666666666667,11.4 km,24.73333333333333,14.2 km,30.28333333333333,22.4 km,32.81666666666667,22.1 km,"35.66983, 139.61613"
137,王子神谷駅,35.765423,139.73563000000001,25.65,14.5 km,23.766666666666666,17.2 km,28.13333333333333,17.9 km,17.55,9.4 km,25.65,8.7 km,33.166666666666664,24.3 km,"35.765423, 139.73563"
